,node_from,node_to,fare,name_from,name_to,key,output
0,15534.0,15525.0,129.0,Lake Merritt,Ashby,1552515534,15534   15525  129 ; Lake Merritt to Ashby
1,15534.0,15542.0,626.0,Lake Merritt,SFO,1553415542,15534   15542  626 ; Lake Merritt to SFO
2,15534.0,15541.0,315.0,Lake Merritt,San Bruno,1553415541,15534   15541  315 ; Lake Merritt to San Bruno
3,15534.0,15527.0,276.0,Lake Merritt,Union City,1552715534,15534   15527  276 ; Lake Merritt to Union City
4,15534.0,15000.0,549.0,Lake Merritt,Oakland International Airport,1500015534,15534   15000  549 ; Lake Merritt to Oakland International Airport
5,15534.0,15532.0,129.0,Lake Merritt,Coliseum/Oakland Airport,1553215534,15534   15532  129 ; Lake Merritt to Coliseum/Oakland Airport
6,15534.0,15514.0,231.0,Lake Merritt,Civic Center,1551415534,15534   15514  231 ; Lake Merritt to Civic Center
7,15534.0,15522.0,154.0,Lake Merritt,El Cerrito Plaza,1552215534,15534   15522  154 ; Lake Merritt to El Cerrito Plaza
8,15534.0,15528.0,245.0,Lake Merritt,South Hayward,1552815534,15534   15528  245 ; Lake Merritt to South Hayward
9,15534.0,15516.0,252.0,Lake Merritt,24th St Mission,1551615534,15534   15516  252 ; Lake Merritt to 24th St Mission
10,15534.0,15538.0,297.0,Lake Merritt,Dublin/ Pleasanton,1553415538,15534   15538  297 ; Lake Merritt to Dublin/ Pleasanton
11,15534.0,15529.0,224.0,Lake Merritt,Hayward,1552915534,15534   15529  224 ; Lake Merritt to Hayward
12,15534.0,14208.0,427.0,Lake Merritt,Santa Clara,1420815534,15534   14208  427 ; Lake Merritt to Santa Clara
13,15534.0,15545.0,287.0,Lake Merritt,West Dublin/Pleasanton,1553415545,15534   15545  287 ; Lake Merritt to West Dublin/Pleasanton
14,15534.0,15508.0,129.0,Lake Merritt,19th St Oakland,1550815534,15534   15508  129 ; Lake Merritt to 19th St Oakland
15,15534.0,15544.0,332.0,Lake Merritt,Warm Springs,1553415544,15534   15544  332 ; Lake Merritt to Warm Springs
16,15534.0,15506.0,129.0,Lake Merritt,Rockridge,1550615534,15534   15506  129 ; Lake Merritt to Rockridge
17,15534.0,15523.0,129.0,Lake Merritt,Berkeley,1552315534,15534   15523  129 ; Lake Merritt to Berkeley
18,15534.0,15539.0,283.0,Lake Merritt,Colma,1553415539,15534   15539  283 ; Lake Merritt to Colma
19,15534.0,15513.0,231.0,Lake Merritt,Powell,1551315534,15534   15513  231 ; Lake Merritt to Powell
20,15534.0,15535.0,287.0,Lake Merritt,North Concord,1553415535,15534   15535  287 ; Lake Merritt to North Concord
21,15534.0,15531.0,168.0,Lake Merritt,San Leandro,1553115534,15534   15531  168 ; Lake Merritt to San Leandro
22,15534.0,14206.0,413.0,Lake Merritt,Downtown San Jose,1420615534,15534   14206  413 ; Lake Merritt to Downtown San Jose
23,15534.0,15521.0,171.0,Lake Merritt,El Cerrito Del Norte,1552115534,15534   15521  171 ; Lake Merritt to El Cerrito Del Norte
24,15534.0,15519.0,287.0,Lake Merritt,Daly City,1551915534,15534   15519  287 ; Lake Merritt to Daly City
25,15534.0,15512.0,231.0,Lake Merritt,Montgomery,1551215534,15534   15512  231 ; Lake Merritt to Montgomery
26,15534.0,15537.0,224.0,Lake Merritt,Castro Valley,1553415537,15534   15537  224 ; Lake Merritt to Castro Valley
27,15534.0,15549.0,318.0,Lake Merritt,Irvington,1553415549,15534   15549  318 ; Lake Merritt to Irvington
28,15534.0,15540.0,297.0,Lake Merritt,South San Francisco,1553415540,15534   15540  297 ; Lake Merritt to South San Francisco
29,15534.0,14204.0,402.0,Lake Merritt,Alum Rock,1420415534,15534   14204  402 ; Lake Merritt to Alum Rock
30,15534.0,15509.0,129.0,Lake Merritt,12th St Oakland City Center,1550915534,15534   15509  129 ; Lake Merritt to 12th St Oakland City Center
31,15534.0,15524.0,133.0,Lake Merritt,North Berkeley,1552415534,15534   15524  133 ; Lake Merritt to North Berkeley
32,15534.0,15543.0,336.0,Lake Merritt,Millbrae,1553415543,15534   15543  336 ; Lake Merritt to Millbrae
33,15534.0,15515.0,245.0,Lake Merritt,16th St Mission,1551515534,15534   15515  245 ; Lake Merritt to 16th St Mission
